State,District,Population Rural,Population Urban,Children Received Polio Birth Rural,Children Received Polio Birth Urban,Children Did Not Receive Any Vaccination Rural,Children Did Not Receive Any Vaccination Urban,Children Received Measles Vaccine Rural,Children Received Measles Vaccine Urban,Children Fully Immunized Rural,Children Fully Immunized Urban,Children Received Bcg Rural,Children Received Bcg Urban,Diarrhoea Dysentery Male Rural,Diarrhoea Dysentery Male Urban,Diarrhoea Dysentery Female Rural,Diarrhoea Dysentery Female Urban,Respiratory Infection Male Rural,Respiratory Infection Male Urban,Respiratory Infection Female Rural,Respiratory Infection Female Urban,Fever Male Rural,Fever Male Urban,Fever Female Rural,Fever Female Urban,Acute Illness Male Rural,Acute Illness Male Urban,Acute Illnes Female Rural,Acute Illness Female Urban,Acute Illness And Treatment From Any Source Rural,Acute Illness And Taking Treatment From Any Source Urban,Acute Illness And Taking Treatment From Any Source Male Rural,Acute Illness And Taking  Treatment From Any Source  Male Urban,Acute Illness And Taking Treatment From Any Source Female Rural,Acute Illness And Taking Treatment From Any Source Female Urban,Acute Illness And Taking Treatment From Government Source Person Rural,Acute Illness And Taking Treatment From Government Person Urban,Acute Illness And Taking Treatment From Government Male Rural,Acute Illness And Taking Treatment From Government Sourc Male Urban,Acute Illness An Taking Treatment From Governmen FemaleRural,Acute Illness And Taking Treatment From Government Female Urban,Women Aware Of Hiv And Aids Rural,Women Aware Of Hiv And Aids Urban,Women Aware Of Rti And Sti Rural,Women Aware Of Rti And Sti Urban,Women Aware Of Haf Ors And Ort And Zinc And Rural,Women Aware Of Haf Ors And Ort And Zinc And Urban,Women Aware Of Ari And  Pneumonia Rural,Women Aware Of Ari And  Pneumonia Urban
Madhya Pradesh,Hoshangabad,49606,33490,91.0,95.9,2.6,0.5,93.4,98.3,70.5,61.0,97.0,99.3,1060.83,306.2,1124.68,258.61,1278.87,2258.94,1293.44,2340.1,11775.03,10029.46,11891.68,11568.06,14314.69,12744.81,14539.45,14337.08,97.8,99.4,97.9,99.4,97.7,99.5,14.2,24.2,12.2,22.4,16.3,25.9,57.5,100.0,56.5,87.4,97.5,100.0,86.9,99.9
Madhya Pradesh,Indore,28802,91475,91.4,92.0,1.3,1.8,89.1,95.7,81.1,87.0,98.6,97.9,726.66,412.73,755.86,392.8,710.76,1194.19,737.72,1348.08,2400.36,2136.98,2735.13,2412.61,4078.78,4005.78,4575.48,4467.27,99.0,98.6,98.8,98.9,99.1,98.3,17.5,12.6,18.2,14.3,16.9,11.0,84.2,96.4,78.8,92.1,98.4,99.2,98.3,96.1
Madhya Pradesh,Jabalpur,25918,51451,86.1,93.8,6.9,2.9,81.4,90.7,63.3,74.2,93.1,96.8,1669.49,414.57,1828.76,547.75,802.53,1979.46,819.36,2178.66,5527.32,4414.57,6487.39,5481.65,8271.27,7021.48,9438.26,8533.42,98.4,97.8,98.2,97.8,98.6,97.8,13.0,6.3,14.7,7.0,11.4,5.7,69.8,95.3,60.3,88.2,98.2,100.0,93.9,97.8
Madhya Pradesh,Jhabua,42523,5191,77.7,93.6,11.9,1.9,73.4,92.4,54.5,84.1,87.4,97.5,423.25,76.98,414.64,81.04,1624.99,1385.68,1765.67,1458.67,2084.95,2078.52,2514.54,2390.6,4418.03,3695.15,5053.13,4213.94,55.1,91.5,57.2,89.6,53.3,93.3,37.2,47.0,38.0,46.5,36.4,47.4,63.4,86.5,77.1,83.7,95.4,97.5,95.0,95.8
Madhya Pradesh,Katni,33037,12600,88.1,91.8,1.7,0.5,89.0,93.4,63.3,64.4,97.8,99.2,1077.5,357.59,1020.22,396.69,768.08,1912.31,958.87,1603.31,10870.47,4244.4,11964.0,4528.93,14385.2,8146.77,15400.51,8132.23,97.9,96.0,97.9,96.8,98.0,95.1,8.7,1.9,8.4,1.8,9.1,2.1,56.3,93.2,90.0,99.4,100.0,100.0,99.6,100.0
Madhya Pradesh,Mandla,37939,7259,70.8,93.1,7.1,3.9,78.2,88.7,49.7,66.2,91.9,96.1,1888.95,823.72,1786.44,508.19,4786.29,7962.66,5026.37,9486.17,9758.59,9033.5,11051.79,8723.88,16965.93,17902.25,18398.28,18859.4,89.5,96.7,89.4,97.4,89.6,96.1,27.1,25.6,28.1,23.8,26.1,27.4,38.5,99.9,83.4,99.9,97.4,100.0,94.7,99.9
Madhya Pradesh,Mandsaur,51708,15667,86.0,93.2,4.6,2.2,80.7,90.9,65.9,72.2,95.2,97.6,478.53,440.75,398.91,133.53,1183.68,1082.99,1084.33,1415.41,5821.31,4734.92,6134.71,5875.28,7873.46,6598.67,8091.26,7851.52,99.2,99.3,99.3,99.2,99.1,99.3,23.0,23.0,24.0,23.3,22.0,22.8,63.8,80.7,61.6,88.6,97.8,98.4,94.2,97.2
Madhya Pradesh,Morena,36842,13094,95.5,95.3,1.5,1.4,80.5,86.4,70.2,82.0,97.8,97.7,523.41,643.41,407.3,546.92,1757.75,1386.9,1570.56,1281.83,3051.71,2330.57,3549.88,2563.66,5738.66,5104.38,6058.56,5281.15,72.8,96.8,72.3,97.2,73.3,96.4,24.5,17.2,24.5,16.1,24.4,18.5,67.7,85.2,83.2,88.3,98.2,97.9,93.7,96.1
Madhya Pradesh,Narsimhapur,36804,7294,86.4,89.6,3.6,2.6,90.2,92.7,71.8,62.2,96.2,97.4,613.83,521.51,704.3,232.36,1314.14,1851.37,1086.2,1945.98,7972.3,6910.04,8318.99,7900.09,10325.86,9387.22,10996.88,10136.51,99.3,99.0,99.4,98.6,99.2,99.4,15.1,51.4,14.5,56.6,15.7,46.1,85.5,93.0,98.4,97.5,100.0,100.0,97.7,98.2
Madhya Pradesh,Neemuch,38271,21503,91.8,92.5,2.0,2.5,88.8,91.5,71.7,80.0,97.6,97.1,391.5,54.85,334.23,48.51,3280.81,5750.59,3204.64,7286.31,2649.53,4397.51,3454.25,5287.67,6498.16,10349.24,7131.42,12894.15,98.1,99.0,98.0,99.9,98.2,98.3,28.8,30.2,30.5,31.6,27.1,28.9,72.1,90.5,53.5,86.4,96.4,98.4,89.3,98.2
